GalaxyID,Class1.1,Class1.2,Class1.3,Categorization
100008,0.383147,0.616853,0,Feature or Disc
100023,0.327001,0.663777,0.009222,Feature or Disc
100053,0.765717,0.177352,0.056931,Rounded
100078,0.693377,0.238564,0.068059,Rounded
100090,0.933839,0,0.066161,Rounded
100122,0.738832,0.238159,0.023009,Rounded
100123,0.462492,0.456033,0.081475,Rounded
100128,0.687783,0.288344,0.023873,Rounded
100134,0.021834,0.976952,0.001214,Feature or Disc
100143,0.269843,0.730157,0,Feature or Disc
100150,0.429378,0.524901,0.045721,Feature or Disc
100157,0.330462,0.669145,3.93E-04,Feature or Disc
100187,0.448521,0.551479,0,Feature or Disc
100204,0.467625,0.53148,8.95E-04,Feature or Disc
100237,0.164391,0.800759,0.03485,Feature or Disc
100259,0.338597,0.661403,0,Feature or Disc
100263,0.179654,0.81853,0.001816,Feature or Disc
100288,0.64558,0.308559,0.045861,Rounded
100295,0.742621,0.191321,0.066058,Rounded
100322,0.091987,0.908013,0,Feature or Disc
100335,0.165002,0.834998,0,Feature or Disc
100367,0.471429,0.512708,0.015863,Feature or Disc
100380,0.03,0.97,0,Feature or Disc
100382,0.256861,0.74281,3.29E-04,Feature or Disc
100383,0.3053,0.681721,0.012979,Feature or Disc
100402,0.61,0.39,0,Rounded
100428,0.715291,0.259587,0.025122,Rounded
100434,0.748,0.214,0.038,Rounded
100444,0.791103,0.138192,0.070705,Rounded
100445,0.186593,0.796066,0.017341,Feature or Disc
100458,0.820908,0.081499,0.097593,Rounded
100474,0.201416,0.745599,0.052985,Feature or Disc
100479,0.841554,0.158446,0,Rounded
100506,0.339372,0.649109,0.011518,Feature or Disc
100513,0.275971,0.700977,0.023052,Feature or Disc
100520,0.04243,0.95757,0,Feature or Disc
100541,0.445052,0.533256,0.021693,Feature or Disc
100561,0.288297,0.701849,0.009854,Feature or Disc
100571,0.713051,0.15889,0.128059,Rounded
100601,0.666779,0.311222,0.022,Rounded
100623,0.397461,0.569675,0.032864,Feature or Disc
100672,0.931725,0.036703,0.031572,Rounded
100673,0.044846,0.955154,0,Feature or Disc
100724,0.862362,0.137638,0,Rounded
100727,0.816171,0.156441,0.027388,Rounded
100730,0.537875,0.322783,0.139342,Rounded
100740,0.638848,0.354207,0.006945,Rounded
100744,0.688286,0.238819,0.072894,Rounded
100765,0.069821,0.928216,0.001962,Feature or Disc
100774,0.490703,0.418373,0.090924,Rounded
100801,0.034997,0.965003,0,Feature or Disc
100813,0.017011,0.982989,0,Feature or Disc
100821,0.05774,0.925928,0.016332,Feature or Disc
100822,0.312826,0.687174,0,Feature or Disc
100836,0.418589,0.55783,0.023581,Feature or Disc
100852,0.727389,0.237785,0.034826,Rounded
100859,0,1,0,Feature or Disc
100861,0.518083,0.464151,0.017766,Rounded
100867,0.806776,0.143003,0.05022,Rounded
100887,0.548984,0.430549,0.020467,Rounded
100894,0.28242,0.70733,0.01025,Feature or Disc
100938,0.384686,0.238401,0.376913,Rounded
100951,0.065374,0.934626,0,Feature or Disc
100986,0.475139,0.513016,0.011844,Feature or Disc
101007,0.077166,0.895607,0.027227,Feature or Disc
101061,0.745385,0.254615,0,Rounded
101074,0.083596,0.905201,0.011203,Feature or Disc
101092,0.870043,0.077985,0.051972,Rounded
101127,0.361844,0.623873,0.014283,Feature or Disc
101133,0.201007,0.720613,0.07838,Feature or Disc
101135,0.523,0.477,0,Rounded
101140,0.034641,0.965359,0,Feature or Disc
101151,0.644645,0.222222,0.133133,Rounded
101164,0.737512,0.244453,0.018035,Rounded
101166,0.369798,0.630202,0,Feature or Disc
101181,0.037222,0.951572,0.011206,Feature or Disc
101232,0.240397,0.743943,0.01566,Feature or Disc
101239,0.225396,0.769924,0.00468,Feature or Disc
101244,0.090797,0.909203,0,Feature or Disc
101246,0.636023,0.250403,0.113575,Rounded
101247,0.781271,0.16784,0.050888,Rounded
101251,0.722908,0.252678,0.024414,Rounded
101275,0.092841,0.893727,0.013433,Feature or Disc
101283,0.576192,0.423808,0,Rounded
101286,0.55827,0.388391,0.053339,Rounded
101290,0.831181,0.168819,0,Rounded
101291,0.87988,0.091484,0.028636,Rounded
101296,0.656344,0.257661,0.085995,Rounded
101298,0.093262,0.90032,0.006418,Feature or Disc
101306,0.376784,0.611058,0.012157,Feature or Disc
101307,0.047993,0.952007,0,Feature or Disc
101315,0.121268,0.852081,0.026651,Feature or Disc
101324,0.444025,0.555975,0,Feature or Disc
101325,0.715051,0.234858,0.050091,Rounded
101355,0.31531,0.68469,0,Feature or Disc
101358,0.385622,0.614378,0,Feature or Disc
101371,0.618786,0.312107,0.069107,Rounded
101374,0.257273,0.728601,0.014125,Feature or Disc
101375,0.394491,0.586077,0.019431,Feature or Disc
101427,0.260917,0.739083,0,Feature or Disc
101469,0.399092,0.518102,0.082807,Feature or Disc
101493,0.331373,0.646556,0.022071,Feature or Disc
101501,0.169743,0.830257,0,Feature or Disc
101502,0.727063,0.254337,0.0186,Rounded
101518,0.758468,0.19524,0.046292,Rounded
101538,0.789034,0.183839,0.027127,Rounded
101548,0.750104,0.155924,0.093971,Rounded
101549,0.428193,0.550411,0.021396,Feature or Disc
101563,0.253478,0.736091,0.010431,Feature or Disc
101564,0.205444,0.785181,0.009375,Feature or Disc
101572,0.650563,0.328268,0.02117,Rounded
101589,0.30211,0.683198,0.014691,Feature or Disc
101591,0.335298,0.623813,0.040888,Feature or Disc
101595,0.137009,0.844953,0.018038,Feature or Disc
101597,0.606589,0.374849,0.018562,Rounded
101599,0.746572,0.232688,0.02074,Rounded
101623,0.860377,0.064327,0.075296,Rounded
101627,0.913527,0.058645,0.027828,Rounded
101651,0.590388,0.338379,0.071233,Rounded
101654,0.570972,0.375011,0.054018,Rounded
101660,0.171583,0.828417,0,Feature or Disc
101666,0.132546,0.867454,0,Feature or Disc
101685,0.16016,0.834233,0.005608,Feature or Disc
101695,0.795754,0.184937,0.019309,Rounded
101701,0.254054,0.721244,0.024702,Feature or Disc
101718,0.043443,0.946096,0.010461,Feature or Disc
101754,0.723273,0.276727,0,Rounded
101756,0.030228,0.969772,0,Feature or Disc
101762,0.437887,0.562113,0,Feature or Disc
101774,0.156509,0.836695,0.006796,Feature or Disc
101787,0.113089,0.886911,0,Feature or Disc
101788,0.338838,0.635555,0.025607,Feature or Disc
101798,0.456193,0.508489,0.035318,Feature or Disc
101804,0.11632,0.877218,0.006463,Feature or Disc
101807,0.319786,0.680214,0,Feature or Disc
101816,0.78041,0.204944,0.014646,Rounded
101848,0.171238,0.828762,0,Feature or Disc
101854,0.678036,0.28231,0.039653,Rounded
101858,0.948216,0.051784,0,Rounded
101875,0.723381,0.275033,0.001587,Rounded
101893,0.133808,0.860998,0.005194,Feature or Disc
101941,0.203394,0.796606,0,Feature or Disc
101943,0.855317,0.116171,0.028511,Rounded
101955,0.18089,0.809767,0.009344,Feature or Disc
101971,0.603217,0.396141,6.42E-04,Rounded
101980,0.107162,0.820145,0.072692,Feature or Disc
